iter	Logloss
0	0.6384552138
1	0.5991805278
2	0.5616949943
3	0.534754613
4	0.5132831128
5	0.5001364646
6	0.4872958069
7	0.47708116
8	0.4657179734
9	0.4563158076
10	0.45077386
11	0.4444619349
12	0.4363476176
13	0.4288315347
14	0.4238855087
15	0.4208653605
16	0.414739617
17	0.4109821812
18	0.4065269618
19	0.4026374411
20	0.3999326999
21	0.3973359857
22	0.395148093
23	0.3921235216
24	0.390285284
25	0.3866516456
26	0.384686996
27	0.3827790613
28	0.3804368322
29	0.3787782363
30	0.3770190163
31	0.3757154862
32	0.37309935
33	0.3715170176
34	0.3700468706
35	0.3687415165
36	0.3668604555
37	0.3659779121
38	0.3641005099
39	0.3618374261
40	0.3596566311
41	0.3593609105
42	0.3587049827
43	0.357909847
44	0.3561178853
45	0.354069604
46	0.3521897214
47	0.3506022986
48	0.3496980501
49	0.3488515675
50	0.3474400118
51	0.3463786919
52	0.3452507527
53	0.3434940142
54	0.3427129528
55	0.3414395276
56	0.3393694928
57	0.3383426942
58	0.3368086154
59	0.3358351387
60	0.3338264406
61	0.3329732137
62	0.3308441314
63	0.3300319096
64	0.3284201069
65	0.3276535104
66	0.3264914269
67	0.3256925383
68	0.3248193089
69	0.3242076629
70	0.3236762
71	0.3230606586
72	0.3206177143
73	0.3200463337
74	0.3192474679
75	0.3182134201
76	0.3175591573
77	0.3169780113
78	0.3149056304
79	0.3141380443
80	0.3133966756
81	0.3125797307
82	0.3116253894
83	0.3108307816
84	0.3103775389
85	0.3096090438
86	0.3084277845
87	0.3072270811
88	0.306293106
89	0.3052747625
90	0.3037987878
91	0.3026876205
92	0.301462386
93	0.3004441542
94	0.2997460801
95	0.2988182143
96	0.2981853563
97	0.2969484825
98	0.2959017248
99	0.2953250411
100	0.2944615908
101	0.2934900535
102	0.2922818948
103	0.2915081683
104	0.2903542714
105	0.288952118
106	0.287954497
107	0.2864091187
108	0.2857025247
109	0.2845836634
110	0.2838045129
111	0.2826197069
112	0.2818271093
113	0.2800027576
114	0.2785953746
115	0.2769298147
116	0.276260928
117	0.2755622333
118	0.2745343646
119	0.2732557334
120	0.2722850571
121	0.271159069
122	0.2700430523
123	0.268272403
124	0.2671347019
125	0.2660583394
126	0.2655713836
127	0.2648427986
128	0.2640653678
129	0.2626502929
130	0.261463833
131	0.2605879322
132	0.25926484
133	0.2584280607
134	0.2577521011
135	0.257057206
136	0.2558228121
137	0.2553892833
138	0.2541631311
139	0.2534991149
140	0.2526225965
141	0.2516212636
142	0.250980062
143	0.2506862513
144	0.2497882917
145	0.2488489749
146	0.2481486724
147	0.2473869633
148	0.246276068
149	0.245520163
150	0.2445597934
151	0.2441727754
152	0.2433518571
153	0.2422226524
154	0.2413131584
155	0.2404335963
156	0.2397004827
157	0.2393375776
158	0.238330069
159	0.237885957
160	0.2365025813
161	0.2361198492
162	0.2354702443
163	0.2344814758
164	0.2340178866
165	0.2332575706
166	0.2325673043
167	0.2317327521
168	0.2311000915
169	0.2307538168
170	0.2297684522
171	0.2292466375
172	0.228549823
173	0.2280548434
174	0.2274513898
175	0.2270361674
176	0.2264979772
177	0.2255022039
178	0.224984592
179	0.2244378706
180	0.2239708738
181	0.2235513725
182	0.2226865114
183	0.2220166911
184	0.2211582111
185	0.2205219367
186	0.2200875033
187	0.2194728784
188	0.2188092177
189	0.2180440462
190	0.2172931298
191	0.2167625661
192	0.2164959052
193	0.2160173184
194	0.215434932
195	0.2148433003
196	0.2143745746
197	0.2139806549
198	0.2134368395
199	0.2127911955
