iter	Passed	Remaining
0	5	1153
1	10	1070
2	15	1024
3	20	989
4	25	977
5	29	956
6	34	957
7	39	954
8	44	944
9	50	963
10	55	945
11	60	940
12	64	934
13	70	930
14	74	920
15	79	911
16	84	906
17	88	891
18	92	884
19	97	880
20	104	892
21	109	885
22	114	877
23	119	873
24	124	873
25	130	873
26	135	868
27	141	867
28	146	865
29	151	858
30	156	855
31	161	850
32	166	843
33	171	838
34	176	831
35	180	823
36	185	816
37	190	811
38	195	807
39	200	802
40	206	800
41	208	783
42	213	778
43	218	774
44	222	767
45	228	764
46	233	759
47	238	755
48	242	748
49	247	743
50	253	740
51	258	735
52	262	729
53	267	723
54	272	718
55	277	713
56	282	708
57	287	704
58	292	698
59	297	694
60	302	690
61	307	684
62	312	678
63	316	673
64	321	668
65	326	661
66	330	656
67	336	652
68	341	647
69	346	642
70	351	637
71	355	632
72	361	628
73	366	623
74	371	618
75	375	613
76	380	607
77	385	602
78	390	598
79	395	593
80	400	588
81	405	582
82	409	577
83	414	571
84	418	566
85	423	561
86	428	556
87	434	552
88	439	547
89	444	543
90	449	538
91	454	534
92	460	529
93	465	524
94	470	519
95	474	514
96	479	508
97	483	503
98	488	498
99	493	493
100	498	488
101	503	483
102	508	478
103	513	473
104	518	469
105	523	464
106	527	458
107	532	453
108	537	448
109	542	443
110	547	439
111	552	434
112	557	428
113	562	424
114	566	418
115	572	414
116	577	409
117	582	404
118	586	399
119	590	393
120	595	388
121	600	383
122	605	378
123	609	373
124	613	368
125	618	363
126	623	358
127	628	353
128	633	348
129	639	344
130	644	339
131	650	334
132	655	330
133	659	324
134	664	319
135	668	314
136	674	310
137	678	304
138	683	300
139	688	295
140	693	290
141	699	285
142	704	280
143	708	275
144	713	270
145	717	265
146	722	260
147	727	255
148	732	250
149	737	245
150	742	240
151	747	235
152	752	231
153	757	226
154	761	221
155	766	216
156	770	211
157	775	206
158	780	201
159	785	196
160	789	191
161	794	186
162	799	181
163	803	176
164	808	171
165	813	166
166	819	161
167	824	157
168	829	152
169	834	147
170	839	142
171	844	137
172	849	132
173	854	127
174	858	122
175	862	117
176	868	112
177	873	107
178	878	103
179	883	98
180	887	93
181	892	88
182	898	83
183	902	78
184	906	73
185	911	68
186	916	63
187	921	58
188	926	53
189	930	48
190	935	44
191	939	39
192	944	34
193	949	29
194	954	24
195	959	19
196	964	14
197	969	9
198	973	4
199	979	0
